Country Name,GDP growth
Afghanistan,2.595542453
Albania,3.841363666
Algeria,1.7
American Samoa,..
Andorra,1.873196616
Angola,0.721699272
Antigua and Barbuda,3.337049215
Argentina,2.863922897
Armenia,7.499999999
Aruba,..
Australia,1.957575422
Austria,3.035272679
Azerbaijan,0.099999814
Bahamas; The,1.437191339
Bahrain,3.884830534
Bangladesh,7.284208377
Barbados,1.671064204
Belarus,2.421906267
Belgium,1.729766762
Belize,0.883603673
Benin,5.584195081
Bermuda,..
Bhutan,6.818777705
Bolivia,4.195207019
Bosnia and Herzegovina,3.031388275
Botswana,2.359197082
Brazil,0.976085681
British Virgin Islands,..
Brunei Darussalam,1.328751395
Bulgaria,3.561642856
Burkina Faso,6.742653542
Burundi,0.51913901
Cabo Verde,3.891335233
Cambodia,6.814723618
Cameroon,3.177084706
Canada,3.047350681
Cayman Islands,..
Central African Republic,4.299938053
Chad,-2.953771549
Channel Islands,..
Chile,1.489906004
China,6.9
Colombia,1.768071778
Comoros,2.5
Congo; Dem. Rep.,3.70085075
Congo; Rep.,-4.589083578
Costa Rica,3.191803724
Cote d'Ivoire,7.797005627
Croatia,2.778282661
Cuba,..
Curacao,..
Cyprus,3.879754768
Czech Republic,4.289078941
Denmark,2.240138922
Djibouti,4.090263628
Dominica,-4.213529417
Dominican Republic,4.551815138
Ecuador,2.998152934
Egypt; Arab Rep.,4.181221
El Salvador,2.322597438
Equatorial Guinea,-3.220228142
Eritrea,..
Estonia,4.854136829
Ethiopia,10.24581085
Faroe Islands,..
Fiji,3.800000088
Finland,2.634254746
France,1.819400181
French Polynesia,..
Gabon,1.104719332
Gambia; The,3.500000132
Georgia,4.98609476
Germany,2.222824755
Ghana,8.507156219
Gibraltar,..
Greece,1.351328389
Greenland,..
Grenada,3.730320732
Guam,..
Guatemala,2.760329473
Guinea,8.24984423
Guinea-Bissau,5.91897567
Guyana,2.924668313
Haiti,1.173279505
Honduras,4.78529791
Hong Kong SAR; China,3.79134856
Hungary,3.98871037
Iceland,3.642226802
India,6.624227116
Indonesia,5.067680274
Iran; Islamic Rep.,4.300015081
Iraq,-0.780088428
Ireland,7.802381608
Isle of Man,..
Israel,3.331562794
Italy,1.502291372
Jamaica,0.481488516
Japan,1.712581131
Jordan,1.970023751
Kazakhstan,4
Kenya,4.88544448
Kiribati,3.102807007
Korea; Dem. PeopleÍs Rep.,..
Korea; Rep.,3.062768462
Kosovo,4.466099856
Kuwait,-2.866431054
Kyrgyz Republic,4.583638398
Lao PDR,6.892747966
Latvia,4.549337701
Lebanon,2.020832396
Lesotho,5.590876671
Liberia,2.454596437
Libya,26.67587032
Liechtenstein,..
Lithuania,3.828936273
Luxembourg,2.297941306
Macao SAR; China,9.096103681
Macedonia; FYR,0.02020369
Madagascar,4.170794766
Malawi,4.000030517
Malaysia,5.901769222
Maldives,8.828456057
Mali,5.3
Malta,6.422489314
Marshall Islands,2.5
Mauritania,3.5
Mauritius,3.8
Mexico,2.036585834
Micronesia; Fed. Sts.,2
Moldova,4.4999999
Monaco,..
Mongolia,5.88462458
Montenegro,4.300004056
Morocco,4.100000007
Mozambique,3.710697424
Myanmar,6.368840526
Namibia,-0.770335374
Nauru,4.154685104
Nepal,7.499402289
Netherlands,3.162212293
New Caledonia,..
New Zealand,3.028657043
Nicaragua,4.861094976
Niger,4.894516591
Nigeria,0.81454403
Northern Mariana Islands,..
Norway,1.918745912
Oman,-0.2726752
Pakistan,5.700621241
Palau,-3.720478368
Panama,5.356521266
Papua New Guinea,2.2
Paraguay,0.772051674
Peru,2.527430678
Philippines,6.684517503
Poland,4.550386923
Portugal,2.679827103
Puerto Rico,..
Qatar,1.596131504
Romania,6.947074694
Russian Federation,1.545630229
Rwanda,6.100594048
Samoa,2.5
San Marino,1.236044657
Sao Tome and Principe,3.874960221
Saudi Arabia,-0.735462899
Senegal,6.78708045
Serbia,1.867428896
Seychelles,4.2
Sierra Leone,4.157662051
Singapore,3.618542336
Sint Maarten (Dutch part),..
Slovak Republic,3.400166311
Slovenia,5.000808222
Solomon Islands,3.238417147
Somalia,..
South Africa,1.32006117
South Sudan,..
Spain,3.051719616
Sri Lanka,3.112558095
St. Kitts and Nevis,1.743095266
St. Lucia,2.690312051
St. Martin (French part),..
St. Vincent and the Grenadines,1.596351197
Sudan,4.283071004
Suriname,0.095480586
Eswatini,2.000625958
Sweden,2.28811587
Switzerland,1.086792219
Syrian Arab Republic,..
Tajikistan,7.100000708
Tanzania,7.104161265
Thailand,3.902975042
Timor-Leste,-8
Togo,5.565791042
Tonga,2.7
Trinidad and Tobago,-2.336014124
Tunisia,1.955125675
Turkey,7.418643975
Turkmenistan,6.500000047
Turks and Caicos Islands,..
Tuvalu,3.241589118
Uganda,3.964779888
Ukraine,2.500467472
United Arab Emirates,0.790400388
United Kingdom,1.787150985
United States,2.273338548
Uruguay,2.656684456
Uzbekistan,5.299999999
Vanuatu,4.500680305
Venezuela; RB,..
Vietnam,6.81224566
Virgin Islands (U.S.),..
West Bank and Gaza,3.14023678
Yemen; Rep.,..
Zambia,4.076715497
Zimbabwe,3.447095145